City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,dikson,56,RU,1616122375,97,73.5069,80.5464,-32.02,3.95
1,ostrovnoy,99,RU,1616122471,84,68.0531,39.5131,-10.47,2.64
2,ponta do sol,20,PT,1616122401,67,32.6667,-17.1,16.67,4.12
3,ushuaia,40,AR,1616122295,71,-54.8,-68.3,8.0,2.06
4,san cristobal,75,VE,1616122448,100,7.7669,-72.225,24.0,2.06
5,bredasdorp,100,ZA,1616122373,94,-34.5322,20.0403,16.0,3.6
6,olafsvik,100,IS,1616122478,92,64.8945,-23.7142,4.24,0.75
7,touba,81,CI,1616122574,81,8.2833,-7.6833,22.05,2.28
8,qaanaaq,31,GL,1616122376,79,77.484,-69.3632,-25.27,3.38
9,saldanha,100,ZA,1616122409,89,-33.0117,17.9442,16.63,5.69
10,punta arenas,75,CL,1616122374,76,-53.15,-70.9167,10.0,3.09
11,jacqueville,0,CI,1616122486,94,5.2052,-4.4146,24.0,2.06
12,albany,75,US,1616122378,75,42.6001,-73.9662,3.0,6.69
13,port alfred,66,ZA,1616122376,87,-33.5906,26.891,21.3,10.25
14,vila franca do campo,75,PT,1616122576,77,37.7167,-25.4333,15.0,4.12
15,straumen,75,NO,1616122576,86,63.8709,11.2999,1.67,3.09
16,hermanus,100,ZA,1616122384,94,-34.4187,19.2345,16.11,4.05
17,kaabong,100,UG,1616122577,78,3.4836,34.1492,18.96,4.22
18,saint-philippe,0,RE,1616122387,69,-21.3585,55.7679,24.0,3.09
19,longyearbyen,90,SJ,1616122295,100,78.2186,15.6401,-1.0,11.32
20,sao filipe,2,CV,1616122373,78,14.8961,-24.4956,21.51,2.38
21,cidreira,25,BR,1616122387,82,-30.1811,-50.2056,21.3,3.56
22,kruisfontein,2,ZA,1616122409,73,-34.0033,24.7314,19.44,0.89
23,victoria,64,HK,1616122166,84,22.2855,114.1577,25.56,1.79
24,maniitsoq,100,GL,1616122578,90,65.4167,-52.9,-7.52,8.84
25,upernavik,100,GL,1616122295,94,72.7868,-56.1549,-19.81,3.11
26,jamestown,1,US,1616122376,64,42.097,-79.2353,1.0,8.17
27,torbay,90,CA,1616122436,87,47.6666,-52.7314,2.22,10.8
28,laguna,90,US,1616122379,94,38.421,-121.4238,12.22,2.06
29,mecca,0,SA,1616122215,53,21.4267,39.8261,23.74,2.12
30,talara,100,PE,1616122580,80,-4.5772,-81.2719,24.75,4.34
31,puerto leguizamo,100,CO,1616122449,97,-0.1934,-74.7819,22.63,1.08
32,kavali,97,IN,1616122581,66,14.9167,79.9833,26.05,1.62
33,santa cruz de tenerife,20,ES,1616122581,94,28.4682,-16.2546,17.22,10.8
34,kilindoni,99,TZ,1616122581,71,-7.9139,39.6668,28.12,2.58
35,tasiilaq,75,GL,1616122404,69,65.6145,-37.6368,0.0,2.57
36,hithadhoo,100,MV,1616122388,70,-0.6,73.0833,28.31,2.82
37,port elizabeth,0,ZA,1616122289,83,-33.918,25.5701,20.0,12.35
38,mahebourg,20,MU,1616122388,94,-20.4081,57.7,22.0,1.54
39,maceio,20,BR,1616122582,94,-9.6658,-35.7353,25.0,0.51
40,kalmunai,100,LK,1616122583,80,7.4167,81.8167,26.74,2.96
41,guider,53,CM,1616122583,27,9.9342,13.9486,26.7,0.87
42,cape town,75,ZA,1616122247,94,-33.9258,18.4232,17.22,4.12
